CPF;TITULO;NOME;SOBRENOME;ENDERECO_1;ENDERECO_2;BAIRRO;CIDADE;ESTADO;CEP;DATA_DE_NASCIMENTO;IDADE;LIMITE_DE_CREDITO;VOLUME_DE_COMPRA;PRIMEIRA_COMPRA
1471156710;sra;Érica;Carvalho;    R. iriquitia    ;;Jardins;São Paulo;SP;80012212;1990-09-01;27;170000,0;24500,0;0
19290992743;Sr;Fernando;Cavalcante;R. dois de Fevereiro     ;;Água Santa;Rio de Janeiro;RJ;22000000;2000-02-12;18;100000,0;20000,0;1
2600586709;Sr.;César;Teixeira;    rua Conde de bonfim;;Tijuca;Rio de Janeiro;RJ;22020001;2000-03-12;18;120000,0;22000,0;0
3623344710;Sr.;Marcos;Nougeuira;    Av. Pastor Martin Luther King Junior    ;;Inhauma;Rio de Janeiro;RJ;22002012;1995-01-13;23;110000,0;22000,0;1
00388323245;Sr;José;Castro;R. 		dos		 imortais;;Barra da Tijuca;Rio de Janeiro;RJ;22002020;1992-05-21;16;85000,9;18500,0;1
492472718;Sr;Eduardo;Jorge;   R. 				volta grande;;Tijuca;Rio de Janeiro;RJ;22012002;1994-07-19;23;75000,0;9500,0;1
50534475787;Sr;Abel;Silva ;  rua Humaitá   ;;Humaitá;Rio de Janeiro;RJ;22000212;1995-09-11;22;170000,0;26000,0;0
5576228758;Sra.;Petra;Oliveira;R.	 Benício	 de Abreu  ;;Lapa;São Paulo;SP;88192029;1995-11-14;22;70000,0;16000,0;1
5648641702;Sr.;Paulo;César Mattos;Rua 	Hélio 	Beltrão;;Tijuca;Rio de Janeiro;RJ;21002020;1991-08-30;26;120000,0;22000,0;0
5840119709;Sr;Gabriel;Araujo;R. Manuel de Oliveira;;Santo Amaro;São Paulo;SP;80010221;1985-03-16;32;140000,0;21000,0;1
7771579779;sr;Marcelo;Mattos;R. Eduardo	 luís lopes;;Brás;São Paulo;SP;88202912;1992-03-25;25;120000,0;20000,0;1
8502682733;Sr;Valdeci;da Silva;R. 		Srg. Édison de Oliveira;;Jardins;São Paulo;SP;82122020;1995-10-07;22;110000,0;19000,0;0
8719655770;Sra.;Carla;Ruiz;Av. gen. guedes da Fontoura;;Jardins;São Paulo;SP;81192002;1983-12-20;34;200000,0;24000,0;0
9283760794;sr.;Edson;Meilelles;R. pinto de Azevedo;;Cidade Nova;Rio de Janeiro;RJ;22002002;1995-10-07;22;150000,0;25000,0;1
94387575700;Sr;Walber;Lontra;R. Cel. almeida;;Piedade;Rio de Janeiro;RJ;22000201;1989-06-20;28;60000,0;12000,0;1
95939180787;Sr;Fábio;Carvalho;R. dos Jacarandás da Península;;Barra da Tijuca;Rio de Janeiro;RJ;22002020;1992-01-05;16;90000,0;18000,0;1
